
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
| 13.png                   | 0.9659      | 0.9340      | 0.9621      | 0.9698      |
| 1300.png                 | 0.0151      | 0.0076      | 0.0076      | 1.0000      |
| 1302.png                 | 0.0210      | 0.0106      | 0.0106      | 1.0000      |
| 1303.png                 | 0.0246      | 0.0124      | 0.0124      | 1.0000      |
| 1304.png                 | 0.0528      | 0.0271      | 0.0271      | 1.0000      |
| 1305.png                 | 0.0560      | 0.0288      | 0.0289      | 0.9736      |
| 1307.png                 | 0.0322      | 0.0164      | 0.0164      | 1.0000      |
| 1308.png                 | 0.0367      | 0.0187      | 0.0187      | 1.0000      |
| 1309.png                 | 0.0271      | 0.0137      | 0.0137      | 1.0000      |
| 1310.png                 | 0.0613      | 0.0316      | 0.0317      | 0.9732      |
| 1311.png                 | 0.0681      | 0.0353      | 0.0353      | 0.9676      |
| 1312.png                 | 0.0529      | 0.0271      | 0.0271      | 1.0000      |
| 1313.png                 | 0.9167      | 0.8462      | 0.9103      | 0.9231      |
| 1314.png                 | 0.0387      | 0.0197      | 0.0197      | 1.0000      |
| 1315.png                 | 0.9594      | 0.9219      | 0.9643      | 0.9545      |
| 1317.png                 | 0.0573      | 0.0295      | 0.0295      | 1.0000      |
| 1318.png                 | 0.0483      | 0.0248      | 0.0248      | 1.0000      |
| 1319.png                 | 0.0524      | 0.0269      | 0.0269      | 1.0000      |
| 132.png                  | 0.8878      | 0.7982      | 0.9680      | 0.8199      |
| 1320.png                 | 0.0325      | 0.0165      | 0.0165      | 1.0000      |
| 1321.png                 | 0.7845      | 0.6454      | 1.0000      | 0.6454      |
| 1322.png                 | 0.0178      | 0.0090      | 0.0090      | 1.0000      |
| 1323.png                 | 0.7613      | 0.6145      | 0.6400      | 0.9392      |
| 1324.png                 | 0.8785      | 0.7833      | 0.9888      | 0.7904      |
| 1325.png                 | 0.0142      | 0.0072      | 0.0072      | 1.0000      |
| 1326.png                 | 0.8392      | 0.7229      | 0.8296      | 0.8490      |
| 1327.png                 | 0.9091      | 0.8333      | 0.8793      | 0.9409      |
| 1328.png                 | 0.9277      | 0.8652      | 0.9716      | 0.8876      |
| 1329.png                 | 0.8526      | 0.7430      | 0.9972      | 0.7446      |
| 133.png                  | 0.9338      | 0.8758      | 0.9988      | 0.8768      |
| 1330.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1333.png                 | 0.0352      | 0.0179      | 0.0179      | 1.0000      |
| 1334.png                 | 0.7932      | 0.6573      | 0.9836      | 0.6645      |
| 1335.png                 | 0.8967      | 0.8127      | 0.9858      | 0.8223      |
| 1337.png                 | 0.9225      | 0.8561      | 0.9484      | 0.8979      |
| 134.png                  | 0.9472      | 0.8997      | 0.9721      | 0.9236      |
| 1345.png                 | 0.0348      | 0.0177      | 0.0177      | 1.0000      |
| 1348.png                 | 0.0092      | 0.0046      | 0.0046      | 1.0000      |
| 1349.png                 | 0.8702      | 0.7702      | 0.9656      | 0.7919      |
| 1350.png                 | 0.8684      | 0.7675      | 0.9248      | 0.8185      |
| 1353.png                 | 0.1844      | 0.1016      | 0.1016      | 1.0000      |
| 1354.png                 | 0.1201      | 0.0639      | 0.0639      | 1.0000      |
| 1355.png                 | 0.1259      | 0.0672      | 0.0672      | 1.0000      |
| 1356.png                 | 0.9558      | 0.9154      | 0.9344      | 0.9783      |
| 1357.png                 | 0.9634      | 0.9294      | 0.9509      | 0.9763      |
| 1358.png                 | 0.1145      | 0.0607      | 0.0607      | 1.0000      |
| 1359.png                 | 0.0769      | 0.0400      | 0.0400      | 1.0000      |
| 1370.png                 | 0.0495      | 0.0254      | 0.0254      | 1.0000      |
| 1371.png                 | 0.0404      | 0.0206      | 0.0206      | 1.0000      |
| 1372.png                 | 0.0291      | 0.0148      | 0.0148      | 1.0000      |
| 1373.png                 | 0.8743      | 0.7767      | 0.7776      | 0.9985      |
| 1374.png                 | 0.2291      | 0.1294      | 0.1306      | 0.9326      |
| 1375.png                 | 0.2949      | 0.1730      | 0.1751      | 0.9339      |
| 1376.png                 | 0.7746      | 0.6321      | 0.6754      | 0.9079      |
| 1377.png                 | 0.8142      | 0.6867      | 0.8166      | 0.8119      |
| 1378.png                 | 0.0203      | 0.0103      | 0.0103      | 0.9257      |
| 1379.png                 | 0.8091      | 0.6794      | 0.7368      | 0.8972      |
| 1380.png                 | 0.1107      | 0.0586      | 0.0586      | 0.9831      |
| 1381.png                 | 0.7635      | 0.6175      | 0.6481      | 0.9288      |
| 1382.png                 | 0.7591      | 0.6118      | 0.9076      | 0.6524      |
| 1389.png                 | 0.0298      | 0.0151      | 0.0151      | 1.0000      |
| 139.png                  | 0.9521      | 0.9087      | 0.9757      | 0.9297      |
| 1390.png                 | 0.0601      | 0.0310      | 0.0310      | 1.0000      |
| 1397.png                 | 0.0979      | 0.0515      | 0.0515      | 1.0000      |
| 14.png                   | 0.9683      | 0.9385      | 0.9744      | 0.9623      |
| 140.png                  | 0.9373      | 0.8820      | 0.9720      | 0.9050      |
| 1405.png                 | 0.0328      | 0.0167      | 0.0167      | 1.0000      |
| 1406.png                 | 0.0245      | 0.0124      | 0.0124      | 1.0000      |
| 1407.png                 | 0.3382      | 0.2035      | 0.2085      | 0.8957      |
| 1409.png                 | 0.0220      | 0.0111      | 0.0111      | 1.0000      |
| 1410.png                 | 0.0319      | 0.0162      | 0.0162      | 1.0000      |
| 1411.png                 | 0.8259      | 0.7035      | 0.7388      | 0.9363      |
| 1412.png                 | 0.8123      | 0.6840      | 0.9964      | 0.6856      |
| 1414.png                 | 0.0281      | 0.0142      | 0.0142      | 1.0000      |
| 1415.png                 | 0.0403      | 0.0205      | 0.0206      | 0.9887      |
| 1416.png                 | 0.0240      | 0.0121      | 0.0121      | 1.0000      |
| 1417.png                 | 0.8678      | 0.7664      | 0.8388      | 0.8988      |
| 1418.png                 | 0.9332      | 0.8747      | 0.9603      | 0.9076      |
| 1419.png                 | 0.9083      | 0.8320      | 0.9205      | 0.8965      |
| 142.png                  | 0.8811      | 0.7875      | 0.9984      | 0.7885      |
| 1420.png                 | 0.0205      | 0.0104      | 0.0104      | 1.0000      |
| 1422.png                 | 0.0253      | 0.0128      | 0.0128      | 0.9949      |
| 1424.png                 | 0.0374      | 0.0191      | 0.0191      | 1.0000      |
| 1426.png                 | 0.3030      | 0.1786      | 0.1793      | 0.9769      |
| 1427.png                 | 0.9426      | 0.8915      | 0.9803      | 0.9077      |
| 1428.png                 | 0.9479      | 0.9010      | 0.9850      | 0.9136      |
| 1429.png                 | 0.0244      | 0.0124      | 0.0124      | 1.0000      |
| 143.png                  | 0.9132      | 0.8402      | 0.9987      | 0.8412      |
| 1432.png                 | 0.8298      | 0.7091      | 0.7504      | 0.9279      |
| 1433.png                 | 0.9044      | 0.8254      | 0.9095      | 0.8993      |
| 1435.png                 | 0.1417      | 0.0763      | 0.0763      | 1.0000      |
| 1436.png                 | 0.0936      | 0.0491      | 0.0491      | 1.0000      |
| 1437.png                 | 0.0659      | 0.0341      | 0.0341      | 1.0000      |
| 1438.png                 | 0.0581      | 0.0299      | 0.0299      | 1.0000      |
| 1439.png                 | 0.0756      | 0.0393      | 0.0393      | 1.0000      |
| 1442.png                 | 0.8565      | 0.7490      | 0.7817      | 0.9471      |
| 1443.png                 | 0.0547      | 0.0281      | 0.0282      | 0.9364      |
| 1444.png                 | 0.9202      | 0.8521      | 0.8999      | 0.9414      |
| 1445.png                 | 0.9760      | 0.9531      | 0.9876      | 0.9647      |
| 1446.png                 | 0.9566      | 0.9168      | 0.9339      | 0.9804      |
| 1450.png                 | 0.0473      | 0.0242      | 0.0242      | 0.9925      |
| 1451.png                 | 0.0520      | 0.0267      | 0.0267      | 0.9984      |
| 1452.png                 | 0.0441      | 0.0226      | 0.0226      | 1.0000      |
| 1453.png                 | 0.9032      | 0.8236      | 0.8908      | 0.9161      |
| 1454.png                 | 0.9479      | 0.9009      | 0.9954      | 0.9047      |
| 1455.png                 | 0.0208      | 0.0105      | 0.0105      | 1.0000      |
| 1456.png                 | 0.0277      | 0.0140      | 0.0140      | 1.0000      |
| 1457.png                 | 0.0332      | 0.0169      | 0.0169      | 1.0000      |
| 1458.png                 | 0.0359      | 0.0183      | 0.0183      | 1.0000      |
| 1460.png                 | 0.0430      | 0.0220      | 0.0220      | 1.0000      |
| 1461.png                 | 0.0479      | 0.0245      | 0.0245      | 1.0000      |
| 1462.png                 | 0.0459      | 0.0235      | 0.0235      | 1.0000      |
| 1469.png                 | 0.8806      | 0.7867      | 0.8889      | 0.8725      |
| 147.png                  | 0.2885      | 0.1686      | 0.1686      | 1.0000      |
| 1470.png                 | 0.8857      | 0.7948      | 0.8730      | 0.8987      |
| 1472.png                 | 0.0151      | 0.0076      | 0.0076      | 1.0000      |
| 1473.png                 | 0.0168      | 0.0085      | 0.0085      | 1.0000      |
| 1474.png                 | 0.0133      | 0.0067      | 0.0067      | 1.0000      |
| 1476.png                 | 0.0149      | 0.0075      | 0.0075      | 1.0000      |
| 1477.png                 | 0.0310      | 0.0157      | 0.0157      | 1.0000      |
| 1478.png                 | 0.0135      | 0.0068      | 0.0068      | 1.0000      |
| 1479.png                 | 0.0098      | 0.0049      | 0.0049      | 1.0000      |
| 1480.png                 | 0.8127      | 0.6845      | 0.7194      | 0.9339      |
| 1481.png                 | 0.0301      | 0.0153      | 0.0153      | 1.0000      |
| 1482.png                 | 0.0368      | 0.0187      | 0.0187      | 1.0000      |
| 1484.png                 | 0.0441      | 0.0226      | 0.0226      | 0.9995      |
| 1485.png                 | 0.0500      | 0.0257      | 0.0257      | 0.9912      |
| 1486.png                 | 0.0337      | 0.0171      | 0.0171      | 1.0000      |
| 1487.png                 | 0.0096      | 0.0048      | 0.0048      | 1.0000      |
| 1488.png                 | 0.0164      | 0.0083      | 0.0083      | 1.0000      |
| 1490.png                 | 0.0305      | 0.0155      | 0.0155      | 1.0000      |
| 1491.png                 | 0.0158      | 0.0080      | 0.0080      | 1.0000      |
| 1492.png                 | 0.0146      | 0.0073      | 0.0073      | 1.0000      |
| 1496.png                 | 0.0722      | 0.0374      | 0.0374      | 1.0000      |
| 1498.png                 | 0.0407      | 0.0207      | 0.0207      | 1.0000      |
| 1499.png                 | 0.7839      | 0.6446      | 0.6824      | 0.9209      |
| 15.png                   | 0.9234      | 0.8577      | 0.9532      | 0.8955      |
| 1500.png                 | 0.0722      | 0.0375      | 0.0375      | 1.0000      |
| 1501.png                 | 0.0826      | 0.0431      | 0.0431      | 1.0000      |
| 1503.png                 | 0.0850      | 0.0444      | 0.0444      | 1.0000      |
| 1506.png                 | 0.4772      | 0.3134      | 0.3178      | 0.9571      |
| 1507.png                 | 0.3758      | 0.2314      | 0.2346      | 0.9443      |
| 1508.png                 | 0.8282      | 0.7068      | 0.7287      | 0.9593      |
| 1509.png                 | 0.9404      | 0.8875      | 0.9289      | 0.9522      |
| 1510.png                 | 0.0498      | 0.0255      | 0.0255      | 1.0000      |
| 1511.png                 | 0.0210      | 0.0106      | 0.0106      | 1.0000      |
| 1512.png                 | 0.7832      | 0.6436      | 0.6718      | 0.9388      |
| 1513.png                 | 0.8090      | 0.6792      | 0.7153      | 0.9309      |
