| Anh         | Dice      | IoU       |
| 1559.png    | 0| 0 |
| 1560.png    | 0.0252608          | 0.012792           |
| 1561.png    | 0.759819          | 0.612667           |
| 1562.png    | 0| 0 |
| 1563.png    | 0| 0 |
| 1564.png    | 0.126791          | 0.0676868           |
| 1565.png    | 0.366093          | 0.22406           |
| 1566.png    | 0.371179          | 0.227882           |
| 1567.png    | 0.499574          | 0.332955           |
| 1568.png    | 0| 0 |
| 157.png     | 0| 0 |
| 1571.png    | 0.440758          | 0.282675           |
| 1572.png    | 0| 0 |
| 1577.png    | 0| 0 |
| 1578.png    | 0| 0 |
| 1579.png    | 0| 0 |
| 158.png     | 0| 0 |
| 1580.png    | 0.326493          | 0.195095           |
| 1590.png    | 0| 0 |
| 1591.png    | 0| 0 |
| 1592.png    | 0.52497          | 0.355905           |
| 1593.png    | 0| 0 |
| 1594.png    | 0| 0 |
| 1595.png    | 0| 0 |
| 1596.png    | 0| 0 |
| 1597.png    | 0| 0 |
| 1598.png    | 0| 0 |
| 16.png      | 0| 0 |
| 160.png     | 0| 0 |
| 1600.png    | 0| 0 |
| 1601.png    | 0| 0 |
| 1602.png    | 0| 0 |
| 1603.png    | 0| 0 |
| 1604.png    | 0| 0 |
| 1605.png    | 0.28989          | 0.169516           |
| 1606.png    | 0.225989          | 0.127389           |
| 1608.png    | 0| 0 |
| 1609.png    | 0| 0 |
| 161.png     | 0| 0 |
| 1610.png    | 0| 0 |
| 1611.png    | 0| 0 |
| 1612.png    | 0| 0 |
| 1613.png    | 0| 0 |
| 1614.png    | 0| 0 |
| 1617.png    | 0| 0 |
| 1618.png    | 0| 0 |
| 1619.png    | 0| 0 |
| 162.png     | 0.000431406            | 0.00021575             |
| 1620.png    | 0| 0 |
| 1622.png    | 0| 0 |
| 1625.png    | 0| 0 |
| 1626.png    | 0| 0 |
| 1628.png    | 0| 0 |
| 1629.png    | 0| 0 |
| 1630.png    | 0| 0 |
| 1631.png    | 0| 0 |
| 1632.png    | 0| 0 |
| 1635.png    | 0| 0 |
| 1636.png    | 0| 0 |
| 1637.png    | 0| 0 |
| 1638.png    | 0| 0 |
| 1639.png    | 0| 0 |
| 164.png     | 0| 0 |
| 165.png     | 0| 0 |
| 1656.png    | 0| 0 |
| 1657.png    | 0| 0 |
| 166.png     | 0| 0 |
| 1665.png    | 0.00173635           | 0.000868929             |
| 1666.png    | 0| 0 |
| 1667.png    | 0.000528402            | 0.000264271             |
| 1668.png    | 0| 0 |
| 1669.png    | 0| 0 |
| 167.png     | 0| 0 |
| 1670.png    | 0.00892857           | 0.0044843            |
| 1671.png    | 0.00455235           | 0.00228137            |
| 1672.png    | 0| 0 |
| 1677.png    | 0| 0 |
| 1679.png    | 0| 0 |
| 168.png     | 0| 0 |
| 1681.png    | 0| 0 |
| 1685.png    | 0.0129327          | 0.00650842            |
| 1689.png    | 0| 0 |
| 1691.png    | 0| 0 |
| 1692.png    | 0| 0 |
| 1693.png    | 0| 0 |
| 1694.png    | 0| 0 |
| 1697.png    | 0| 0 |
| 1699.png    | 0| 0 |
| 17.png      | 0| 0 |
| 1700.png    | 0| 0 |
| 1701.png    | 0| 0 |
| 1702.png    | 0| 0 |
| 1705.png    | 0| 0 |
| 1706.png    | 0| 0 |
| 1707.png    | 0| 0 |
| 1708.png    | 0| 0 |
| 1713.png    | 0| 0 |
| 1715.png    | 0| 0 |
| 172.png     | 0| 0 |
| 1722.png    | 0| 0 |
| 1723.png    | 0| 0 |
| 1724.png    | 0| 0 |
| 1726.png    | 0| 0 |
| 1727.png    | 0| 0 |
| 1728.png    | 0| 0 |
| 1729.png    | 0| 0 |
| 173.png     | 0| 0 |
| 1730.png    | 0| 0 |
| 1731.png    | 0| 0 |
| 1732.png    | 0| 0 |
| 1733.png    | 0| 0 |
| 1741.png    | 0| 0 |
| 1743.png    | 0| 0 |
| 1745.png    | 0| 0 |
| 1746.png    | 0| 0 |
| 1747.png    | 0| 0 |
| 1748.png    | 0| 0 |
| 1749.png    | 0| 0 |
| 175.png     | 0| 0 |
| 1750.png    | 0| 0 |
| 1751.png    | 0| 0 |
| 1752.png    | 0| 0 |
| 1753.png    | 0| 0 |
| 1759.png    | 0| 0 |
| 176.png     | 0| 0 |
| 1760.png    | 0| 0 |
| 1761.png    | 0| 0 |
| 1762.png    | 0| 0 |
| 1764.png    | 0.437793          | 0.28024           |
| 1766.png    | 0| 0 |
| 1767.png    | 0| 0 |
| 177.png     | 0| 0 |
| 1771.png    | 0| 0 |
| 178.png     | 0| 0 |
| 1781.png    | 0| 0 |
| 1782.png    | 0| 0 |
| 1786.png    | 0| 0 |
| 1787.png    | 0| 0 |
| 1788.png    | 0| 0 |
| 1789.png    | 0| 0 |
| 1790.png    | 0| 0 |
| 1791.png    | 0| 0 |
| 1793.png    | 0| 0 |
| 1795.png    | 0| 0 |
| 1796.png    | 0| 0 |
| 1797.png    | 0| 0 |
| 1798.png    | 0| 0 |
| 1799.png    | 0| 0 |
| 18.png      | 0| 0 |
| 180.png     | 0| 0 |
| 1800.png    | 0| 0 |
| 1801.png    | 0.0307988          | 0.0156403           |
| 1802.png    | 0.00909091           | 0.00456621            |
| 1805.png    | 0| 0 |
| 1808.png    | 0| 0 |
| 181.png     | 0| 0 |
| 182.png     | 0| 0 |
| 1820.png    | 0| 0 |
| 1822.png    | 0| 0 |
| 1825.png    | 0| 0 |
| 1826.png    | 0| 0 |
| 1827.png    | 0| 0 |
| 1828.png    | 0| 0 |
| 1829.png    | 0| 0 |
| 183.png     | 0| 0 |
| 1830.png    | 0| 0 |
| 1831.png    | 0| 0 |
| 1832.png    | 0| 0 |
| 1833.png    | 0| 0 |
| 1834.png    | 0| 0 |
| 1835.png    | 0| 0 |
| 1836.png    | 0| 0 |
| 1837.png    | 0| 0 |
| 1838.png    | 0| 0 |
| 1839.png    | 0| 0 |
| 184.png     | 0| 0 |
| 1840.png    | 0| 0 |
| 185.png     | 0| 0 |
