
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
| 1389.png                 | 0.7870      | 0.6487      | 0.8003      | 0.7741      |
| 139.png                  | 0.9300      | 0.8692      | 0.9980      | 0.8707      |
| 1390.png                 | 0.8774      | 0.7817      | 0.9930      | 0.7860      |
| 1397.png                 | 0.5715      | 0.4001      | 0.8869      | 0.4216      |
| 14.png                   | 0.9537      | 0.9115      | 0.9902      | 0.9198      |
| 140.png                  | 0.9211      | 0.8537      | 0.9934      | 0.8586      |
| 1405.png                 | 0.7796      | 0.6388      | 0.6892      | 0.8973      |
| 1406.png                 | 0.7675      | 0.6227      | 0.6827      | 0.8764      |
| 1407.png                 | 0.8441      | 0.7303      | 0.9094      | 0.7876      |
| 1409.png                 | 0.8910      | 0.8035      | 0.9279      | 0.8569      |
| 1410.png                 | 0.8807      | 0.7869      | 0.9035      | 0.8591      |
| 1411.png                 | 0.8978      | 0.8146      | 0.9266      | 0.8708      |
| 1412.png                 | 0.7434      | 0.5916      | 1.0000      | 0.5916      |
| 1414.png                 | 0.8328      | 0.7135      | 0.7794      | 0.8941      |
| 1415.png                 | 0.8662      | 0.7639      | 0.9370      | 0.8053      |
| 1416.png                 | 0.8752      | 0.7781      | 0.8992      | 0.8525      |
| 1417.png                 | 0.8427      | 0.7281      | 0.9346      | 0.7672      |
| 1418.png                 | 0.9026      | 0.8224      | 0.9866      | 0.8317      |
| 1419.png                 | 0.8760      | 0.7794      | 0.9472      | 0.8148      |
| 142.png                  | 0.8509      | 0.7405      | 1.0000      | 0.7405      |
| 1420.png                 | 0.8000      | 0.6667      | 0.9847      | 0.6737      |
| 1422.png                 | 0.7725      | 0.6293      | 0.6907      | 0.8763      |
| 1424.png                 | 0.7962      | 0.6615      | 0.7228      | 0.8863      |
| 1426.png                 | 0.9217      | 0.8547      | 0.9514      | 0.8937      |
| 1427.png                 | 0.8678      | 0.7665      | 0.9917      | 0.7715      |
| 1428.png                 | 0.8983      | 0.8153      | 0.9967      | 0.8175      |
| 1429.png                 | 0.9219      | 0.8551      | 0.9564      | 0.8898      |
| 143.png                  | 0.8935      | 0.8075      | 1.0000      | 0.8075      |
| 1432.png                 | 0.8474      | 0.7352      | 0.8999      | 0.8006      |
| 1433.png                 | 0.9030      | 0.8232      | 0.9518      | 0.8590      |
| 1435.png                 | 0.5614      | 0.3902      | 0.3949      | 0.9704      |
| 1436.png                 | 0.8671      | 0.7654      | 0.7988      | 0.9482      |
| 1437.png                 | 0.8712      | 0.7718      | 0.8034      | 0.9514      |
