
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
| 1318.png                 | 0.0396      | 0.0202      | 0.0202      | 0.9970      | 
| 1319.png                 | 0.0430      | 0.0220      | 0.0220      | 0.9965      | 
| 132.png                  | 0.1162      | 0.0617      | 0.0617      | 0.9989      | 
| 1320.png                 | 0.0265      | 0.0134      | 0.0134      | 0.9903      | 
| 1321.png                 | 0.0169      | 0.0085      | 0.0085      | 0.9236      | 
| 1322.png                 | 0.0137      | 0.0069      | 0.0069      | 0.9809      | 
| 1323.png                 | 0.0071      | 0.0036      | 0.0036      | 0.9895      | 
| 1324.png                 | 0.0127      | 0.0064      | 0.0064      | 0.9484      | 
| 1325.png                 | 0.0096      | 0.0048      | 0.0048      | 0.9836      | 
| 1326.png                 | 0.0310      | 0.0157      | 0.0157      | 0.9931      | 
| 1327.png                 | 0.0229      | 0.0116      | 0.0116      | 0.9953      | 
| 1328.png                 | 0.0253      | 0.0128      | 0.0128      | 1.0000      | 
| 1329.png                 | 0.0253      | 0.0128      | 0.0128      | 0.9860      | 
| 133.png                  | 0.1620      | 0.0881      | 0.0882      | 0.9986      | 
| 1330.png                 | 0.0197      | 0.0100      | 0.0100      | 0.9843      | 
| 1333.png                 | 0.0254      | 0.0128      | 0.0129      | 0.9576      | 
| 1334.png                 | 0.0260      | 0.0132      | 0.0132      | 0.9266      | 
| 1335.png                 | 0.0338      | 0.0172      | 0.0172      | 0.9608      | 
| 1337.png                 | 0.0269      | 0.0137      | 0.0137      | 0.9729      | 
| 134.png                  | 0.2067      | 0.1153      | 0.1153      | 0.9990      | 
| 1345.png                 | 0.0281      | 0.0142      | 0.0143      | 0.9680      | 
| 1348.png                 | 0.0077      | 0.0039      | 0.0039      | 1.0000      | 
| 1349.png                 | 0.0110      | 0.0055      | 0.0055      | 0.9875      | 
| 1350.png                 | 0.0086      | 0.0043      | 0.0043      | 1.0000      | 
| 1353.png                 | 0.0781      | 0.0406      | 0.0406      | 1.0000      | 
| 1354.png                 | 0.0897      | 0.0470      | 0.0470      | 0.9998      | 
| 1355.png                 | 0.0913      | 0.0479      | 0.0479      | 0.9989      | 
| 1356.png                 | 0.0926      | 0.0486      | 0.0486      | 0.9961      | 
| 1357.png                 | 0.0975      | 0.0512      | 0.0512      | 0.9982      | 
| 1358.png                 | 0.0855      | 0.0447      | 0.0447      | 0.9979      | 
| 1359.png                 | 0.0582      | 0.0300      | 0.0300      | 0.9976      | 
| 1370.png                 | 0.0359      | 0.0183      | 0.0183      | 1.0000      | 
| 1371.png                 | 0.0288      | 0.0146      | 0.0146      | 0.9895      | 
| 1372.png                 | 0.0212      | 0.0107      | 0.0107      | 1.0000      | 
| 1373.png                 | 0.0208      | 0.0105      | 0.0105      | 0.9993      | 
| 1374.png                 | 0.0177      | 0.0089      | 0.0089      | 0.9802      | 
| 1375.png                 | 0.0211      | 0.0107      | 0.0107      | 0.9942      | 
| 1376.png                 | 0.0135      | 0.0068      | 0.0068      | 1.0000      | 
| 1377.png                 | 0.0087      | 0.0044      | 0.0044      | 0.9904      | 
| 1378.png                 | 0.0166      | 0.0084      | 0.0084      | 0.9671      | 
| 1379.png                 | 0.0112      | 0.0056      | 0.0056      | 0.9965      | 
| 1380.png                 | 0.0589      | 0.0303      | 0.0304      | 0.9663      | 
| 1381.png                 | 0.0178      | 0.0090      | 0.0090      | 1.0000      | 
| 1382.png                 | 0.0189      | 0.0096      | 0.0096      | 0.9798      | 
| 1389.png                 | 0.0253      | 0.0128      | 0.0128      | 1.0000      | 
| 139.png                  | 0.0618      | 0.0319      | 0.0319      | 1.0000      | 
| 1390.png                 | 0.0479      | 0.0245      | 0.0245      | 0.9714      | 
| 1397.png                 | 0.0753      | 0.0391      | 0.0392      | 0.9701      | 
| 14.png                   | 0.2097      | 0.1171      | 0.1171      | 0.9997      | 
| 140.png                  | 0.0816      | 0.0425      | 0.0425      | 1.0000      | 
| 1405.png                 | 0.0256      | 0.0129      | 0.0129      | 0.9923      | 
| 1406.png                 | 0.0204      | 0.0103      | 0.0103      | 1.0000      | 
| 1407.png                 | 0.0172      | 0.0087      | 0.0087      | 1.0000      | 
| 1409.png                 | 0.0170      | 0.0086      | 0.0086      | 0.9986      | 
| 1410.png                 | 0.0261      | 0.0132      | 0.0132      | 0.9992      | 
| 1411.png                 | 0.0218      | 0.0110      | 0.0110      | 0.9885      | 
| 1412.png                 | 0.0149      | 0.0075      | 0.0075      | 1.0000      | 
| 1414.png                 | 0.0205      | 0.0103      | 0.0103      | 0.9899      | 
| 1415.png                 | 0.0283      | 0.0143      | 0.0143      | 0.9955      | 
| 1416.png                 | 0.0181      | 0.0091      | 0.0091      | 0.9929      | 
| 1417.png                 | 0.0176      | 0.0089      | 0.0089      | 0.9597      | 
